Date,BTC-USD,GLD,SPY,^VIX
2020-02-22,9663.181640625,154.6999969482422,305.5888671875,17.079999923706055
2020-02-23,9924.515625,154.6999969482422,305.5888671875,17.079999923706055
2020-02-24,9650.1748046875,156.08999633789062,295.4539794921875,25.030000686645508
2020-02-25,9341.705078125,153.3000030517578,286.50091552734375,27.850000381469727
2020-02-26,8820.5224609375,153.97000122070312,285.4471740722656,27.559999465942383
2020-02-27,8784.494140625,154.0,272.6272277832031,39.15999984741211
2020-02-28,8672.455078125,148.3800048828125,271.48187255859375,40.11000061035156
2020-02-29,8599.5087890625,148.3800048828125,271.48187255859375,40.11000061035156
2020-03-01,8562.4541015625,148.3800048828125,271.48187255859375,40.11000061035156
2020-03-02,8869.669921875,149.1999969482422,283.2388000488281,33.41999816894531
2020-03-03,8787.7861328125,153.88999938964844,275.1289367675781,36.81999969482422
2020-03-04,8755.24609375,154.16000366210938,286.6934509277344,31.989999771118164
2020-03-05,9078.7626953125,157.49000549316406,277.16326904296875,39.619998931884766
2020-03-06,9122.5458984375,157.5500030517578,272.5814514160156,41.939998626708984
2020-03-07,8909.9541015625,157.5500030517578,272.5814514160156,41.939998626708984
2020-03-08,8108.1162109375,157.5500030517578,272.5814514160156,41.939998626708984
2020-03-09,7923.64453125,157.80999755859375,251.2943878173828,54.459999084472656
2020-03-10,7909.7294921875,154.47999572753906,264.2975158691406,47.29999923706055
2020-03-11,7911.43017578125,153.92999267578125,251.41343688964844,53.900001525878906
2020-03-12,4970.7880859375,147.7899932861328,227.35894775390625,75.47000122070312
2020-03-13,5563.70703125,143.27999877929688,246.79498291015625,57.83000183105469
2020-03-14,5200.3662109375,143.27999877929688,246.79498291015625,57.83000183105469
2020-03-15,5392.31494140625,143.27999877929688,246.79498291015625,57.83000183105469
2020-03-16,5014.47998046875,141.63999938964844,219.78977966308594,82.69000244140625
2020-03-17,5225.62939453125,143.55999755859375,231.65672302246094,75.91000366210938
2020-03-18,5238.4384765625,140.6999969482422,219.92721557617188,76.44999694824219
2020-03-19,6191.19287109375,138.0399932861328,220.39454650878906,72.0
2020-03-20,6198.7783203125,140.11000061035156,210.89683532714844,66.04000091552734
2020-03-21,6185.06640625,140.11000061035156,210.89683532714844,66.04000091552734
2020-03-22,5830.2548828125,140.11000061035156,210.89683532714844,66.04000091552734
2020-03-23,6416.31494140625,146.3000030517578,205.50457763671875,61.59000015258789
2020-03-24,6734.8037109375,153.39999389648438,224.12396240234375,61.66999816894531
2020-03-25,6681.06298828125,151.3000030517578,227.47915649414062,63.95000076293945
2020-03-26,6716.4404296875,153.24000549316406,240.76162719726562,61.0
2020-03-27,6469.79833984375,152.25,233.5903778076172,65.54000091552734
2020-03-28,6242.19384765625,152.25,233.5903778076172,65.54000091552734
2020-03-29,5922.04296875,152.25,233.5903778076172,65.54000091552734
2020-03-30,6429.841796875,152.9199981689453,241.17640686035156,57.08000183105469
2020-03-31,6438.64453125,148.0500030517578,237.58155822753906,53.540000915527344
2020-04-01,6606.7763671875,149.4499969482422,226.88922119140625,57.060001373291016
2020-04-02,6793.62451171875,151.89999389648438,232.124755859375,50.90999984741211
2020-04-03,6733.38720703125,152.64999389648438,228.7696075439453,46.79999923706055
2020-04-04,6867.52734375,152.64999389648438,228.7696075439453,46.79999923706055
2020-04-05,6791.12939453125,152.64999389648438,228.7696075439453,46.79999923706055
2020-04-06,7271.78125,156.8800048828125,244.13522338867188,45.2400016784668
2020-04-07,7176.41455078125,156.0399932861328,244.38409423828125,46.70000076293945
2020-04-08,7334.0986328125,154.64999389648438,252.587646484375,43.349998474121094
2020-04-09,7302.08935546875,158.69000244140625,256.4313659667969,41.66999816894531
2020-04-10,6865.4931640625,158.69000244140625,256.4313659667969,41.66999816894531
2020-04-11,6859.0830078125,158.69000244140625,256.4313659667969,41.66999816894531
2020-04-12,6971.091796875,158.69000244140625,256.4313659667969,41.66999816894531
2020-04-13,6845.03759765625,161.41000366210938,254.09019470214844,41.16999816894531
2020-04-14,6842.427734375,162.67999267578125,261.5839538574219,37.7599983215332
2020-04-15,6642.10986328125,161.85000610351562,256.0257873535156,40.84000015258789
2020-04-16,7116.80419921875,161.7100067138672,257.2609558105469,40.11000061035156
2020-04-17,7096.1845703125,158.57000732421875,264.2110595703125,38.150001525878906
2020-04-18,7257.6650390625,158.57000732421875,264.2110595703125,38.150001525878906
2020-04-19,7189.4248046875,158.57000732421875,264.2110595703125,38.150001525878906
2020-04-20,6881.95849609375,159.6999969482422,259.5561828613281,43.83000183105469
2020-04-21,6880.3232421875,158.61000061035156,251.67514038085938,45.40999984741211
2020-04-22,7117.20751953125,161.72999572753906,257.2609558105469,41.97999954223633
2020-04-23,7429.724609375,163.33999633789062,257.2424621582031,41.380001068115234
2020-04-24,7550.90087890625,162.63999938964844,260.82818603515625,35.93000030517578
2020-04-25,7569.93603515625,162.63999938964844,260.82818603515625,35.93000030517578
2020-04-26,7679.8671875,162.63999938964844,260.82818603515625,35.93000030517578
2020-04-27,7795.60107421875,161.55999755859375,264.58892822265625,33.290000915527344
2020-04-28,7807.05859375,160.83999633789062,263.3721618652344,33.56999969482422
2020-04-29,8801.0380859375,161.72999572753906,270.26690673828125,31.229999542236328
2020-04-30,8658.5537109375,158.8000030517578,267.7505187988281,34.150001525878906
2020-05-01,8864.7666015625,159.77999877929688,260.6622009277344,37.189998626708984
2020-05-02,8988.5966796875,159.77999877929688,260.6622009277344,37.189998626708984
2020-05-03,8897.46875,159.77999877929688,260.6622009277344,37.189998626708984
2020-05-04,8912.654296875,160.33999633789062,261.3811950683594,35.970001220703125
2020-05-05,9003.0703125,161.02000427246094,263.7961120605469,33.61000061035156
2020-05-06,9268.76171875,158.9499969482422,262.0079650878906,34.119998931884766
2020-05-07,9951.5185546875,161.38999938964844,265.1695861816406,31.440000534057617
2020-05-08,9842.666015625,160.4199981689453,269.55712890625,27.979999542236328
2020-05-09,9593.896484375,160.4199981689453,269.55712890625,27.979999542236328
2020-05-10,8756.4306640625,160.4199981689453,269.55712890625,27.979999542236328
2020-05-11,8601.7958984375,159.4199981689453,269.6124572753906,27.56999969482422
2020-05-12,8804.4775390625,160.0399932861328,264.2386169433594,33.040000915527344
2020-05-13,9269.9873046875,161.5800018310547,259.5653076171875,35.279998779296875
2020-05-14,9733.7216796875,163.00999450683594,262.6716613769531,32.61000061035156
2020-05-15,9328.197265625,163.92999267578125,263.8791809082031,31.889999389648438
