Date,ALV.DE,BAS.DE,BMW.DE,DBK.DE,DTE.DE,EOAN.DE,GLD,IFX.DE,MUV2.DE,RWE.DE,SAP.DE,SIE.DE,SPY,^VIX
2018-10-01,136.4904327392578,50.33908462524414,52.579898834228516,8.55947494506836,10.78614616394043,6.394411087036133,112.56999969482422,18.646034240722656,144.3635711669922,17.31883430480957,95.5679702758789,80.13475799560547,260.8394775390625,12.0
2018-10-02,135.79898071289062,50.096031188964844,52.95671844482422,8.464300155639648,10.758967399597168,6.426711082458496,113.87000274658203,19.243003845214844,144.32574462890625,17.459304809570312,95.01253509521484,78.01409912109375,260.68743896484375,12.050000190734863
2018-10-03,135.79898071289062,50.096031188964844,52.95671844482422,8.464300155639648,10.758967399597168,6.426711082458496,113.41999816894531,19.243003845214844,144.32574462890625,17.459304809570312,95.01253509521484,78.01409912109375,260.83050537109375,11.609999656677246
2018-10-04,137.29481506347656,49.491668701171875,52.66065979003906,8.594724655151367,10.922040939331055,6.3716559410095215,113.4800033569336,18.79527473449707,146.71096801757812,16.880910873413086,95.03046417236328,77.69454956054688,258.7919616699219,14.220000267028809
2018-10-05,136.2082061767578,49.064674377441406,52.2703742980957,8.551544189453125,10.883213996887207,6.3444952964782715,113.80000305175781,18.412841796875,147.0138397216797,15.443177223205566,93.36419677734375,76.54708099365234,257.34344482421875,14.819999694824219
2018-10-08,133.93621826171875,48.75592803955078,51.72532653808594,8.41671371459961,10.832738876342773,6.263014316558838,112.54000091552734,17.90914535522461,145.5751495361328,14.980461120605469,91.4112777709961,76.09679412841797,257.34344482421875,15.6899995803833
2018-10-09,134.74058532714844,48.14500427246094,51.402339935302734,8.468707084655762,10.801676750183105,6.31366491317749,112.5999984741211,17.871835708618164,145.80230712890625,14.600374221801758,92.98794555664062,75.90797424316406,256.9678955078125,15.949999809265137
2018-10-10,133.11769104003906,47.09394836425781,50.70252990722656,8.444913864135742,11.092880249023438,6.160979747772217,112.87999725341797,17.08831214904785,143.22775268554688,14.133522987365723,88.42813110351562,74.4409408569336,248.83148193359375,22.959999084472656
2018-10-11,128.61599731445312,45.9837646484375,49.99598693847656,8.34621524810791,10.871565818786621,6.124277591705322,115.77999877929688,16.859783172607422,139.13877868652344,14.311175346374512,86.9679183959961,72.9884262084961,243.35064697265625,24.979999542236328
2018-10-12,127.8680648803711,45.339996337890625,50.12384033203125,8.280121803283691,10.758967399597168,6.086105823516846,115.2300033569336,16.920412063598633,138.23011779785156,14.476431846618652,87.85478973388672,72.45101165771484,246.7303924560547,21.309999465942383
2018-10-15,128.46075439453125,45.43852615356445,50.60832214355469,8.38675308227539,10.984164237976074,6.129415512084961,116.0,16.901758193969727,138.72232055664062,14.439249038696289,87.8010482788086,72.9884262084961,245.3444061279297,21.299999237060547
2018-10-16,129.03936767578125,45.47794723510742,50.97168731689453,8.476638793945312,11.073465347290039,6.210162162780762,115.80000305175781,17.666629791259766,140.27459716796875,14.559060096740723,90.44376373291016,73.91804504394531,250.70904541015625,17.6200008392334
2018-10-17,130.06951904296875,45.339996337890625,50.628509521484375,8.619400024414062,11.178299903869629,6.232917785644531,115.79000091552734,17.736583709716797,140.6910858154297,14.509482383728027,89.88834381103516,74.26663208007812,250.7538604736328,17.399999618530273
2018-10-18,129.9566192626953,44.78818893432617,50.55448532104492,8.45725154876709,11.298664093017578,6.206491947174072,115.91999816894531,16.967050552368164,141.7511749267578,14.563191413879395,84.54915618896484,73.61300659179688,247.1326904296875,20.059999465942383
2018-10-19,130.67633056640625,44.440025329589844,50.22477340698242,8.369126319885254,11.380200386047363,6.312930583953857,116.01000213623047,16.412052154541016,143.60635375976562,14.868913650512695,85.37333679199219,72.69793701171875,246.99859619140625,19.889999389648438
2018-10-22,129.8155059814453,44.33491897583008,50.0901985168457,8.279240608215332,11.310310363769531,6.287238597869873,115.70999908447266,16.654573440551758,142.5841064453125,14.873046875,85.09561157226562,72.79961395263672,245.88992309570312,19.639999389648438
2018-10-23,128.00918579101562,43.80282211303711,49.457672119140625,8.206098556518555,11.197713851928711,6.2395243644714355,116.38999938964844,16.085586547851562,140.0095672607422,14.645819664001465,82.95455932617188,72.21859741210938,244.6381378173828,20.709999084472656
2018-10-24,128.61599731445312,43.22473907470703,48.91263198852539,7.815708637237549,11.298664093017578,6.237321853637695,116.66000366210938,15.330042839050293,139.6688232421875,14.587980270385742,82.13038635253906,72.61078643798828,237.22598266601562,25.229999542236328
2018-10-25,129.22279357910156,43.7896842956543,50.13057327270508,7.772528648376465,11.209362030029297,6.259344577789307,116.4000015258789,15.344035148620605,141.1832733154297,14.633424758911133,83.92207336425781,73.54037475585938,241.48191833496094,24.219999313354492
2018-10-26,126.48509216308594,43.651737213134766,50.480472564697266,7.508156776428223,11.026873588562012,6.230715274810791,116.7699966430664,15.054876327514648,138.83590698242188,14.249204635620117,83.3039321899414,72.68340301513672,237.2349090576172,24.15999984741211
2018-10-29,127.83982849121094,43.7896842956543,51.40907287597656,7.571605682373047,11.038521766662598,6.213098049163818,116.30999755859375,15.959660530090332,141.52401733398438,14.290517807006836,82.98143005371094,73.77278900146484,235.92056274414062,24.700000762939453
2018-10-30,128.404296875,43.474365234375,51.36869430541992,7.539000034332275,11.170534133911133,6.238790512084961,115.80000305175781,15.92235279083252,142.16766357421875,14.055030822753906,82.96351623535156,72.72698211669922,239.41648864746094,23.350000381469727
